email,state,role,password
borja.campos@udi.edu.co,1,student,pass
silvio.garay@udi.edu.co,1,student,pass
dionisio.aparicio@udi.edu.co,1,student,pass
aroa.menéndez@udi.edu.co,1,student,pass
valerio.sabater@udi.edu.co,1,student,pass
yago.pavón@udi.edu.co,1,student,pass
adoración.cerro@udi.edu.co,1,student,pass
tania.sabater@udi.edu.co,1,student,pass
martina.zamora@udi.edu.co,1,student,pass
leonor.rueda@udi.edu.co,1,student,pass
ruth.quintero@udi.edu.co,1,student,pass
aura.vicens@udi.edu.co,1,student,pass
mamen.garay@udi.edu.co,1,student,pass
buenaventura.arenas@udi.edu.co,1,student,pass
luis ángel.cáceres@udi.edu.co,1,student,pass
baltasar.mate@udi.edu.co,1,student,pass
judith.mayoral@udi.edu.co,1,student,pass
íngrid.leal@udi.edu.co,1,student,pass
inmaculada.lucena@udi.edu.co,1,student,pass
sabas.melero@udi.edu.co,1,student,pass
andres.camargo@udi.edu.co,1,student,pass
laura.mendoza@udi.edu.co,1,student,pass
felipe.ruiz@udi.edu.co,1,student,pass
camila.suarez@udi.edu.co,1,student,pass
mateo.herrera@udi.edu.co,1,student,pass
daniela.gomez@udi.edu.co,1,student,pass
julian.ortega@udi.edu.co,1,student,pass
valentina.nino@udi.edu.co,0,student,pass
sebastian.rojas@udi.edu.co,0,student,pass
mariana.prada@udi.edu.co,0,student,pass
federico.manzano@udi.edu.co,1,committee_leader,pass
jose luis.capdevila@udi.edu.co,1,professor,pass
erasmo.mena@udi.edu.co,1,professor,pass
ani.soto@udi.edu.co,1,committee_leader,pass
alonso.posada@udi.edu.co,1,committee_leader,pass
elba.ugarte@udi.edu.co,1,committee_leader,pass
sonia.huguet@udi.edu.co,1,professor,pass
nacio.pedraza@udi.edu.co,1,professor,pass
paula.cervera@udi.edu.co,1,committee_leader,pass
wálter.manuel@udi.edu.co,1,professor,pass
emelina.vilanova@udi.edu.co,1,committee_leader,pass
remigio.garcia@udi.edu.co,1,professor,pass
patricio.pazos@udi.edu.co,1,professor,pass
visitación.olmedo@udi.edu.co,1,committee_leader,pass
kike.marquez@udi.edu.co,1,committee_leader,pass
maría belén.tejedor@udi.edu.co,1,committee_leader,pass
evaristo.luz@udi.edu.co,1,committee_leader,pass
ignacia.rozas@udi.edu.co,1,professor,pass
guadalupe.sabater@udi.edu.co,1,committee_leader,pass
octavio.llopis@udi.edu.co,1,professor,pass
alvaro.pena@udi.edu.co,1,committee_leader,pass
sandra.vargas@udi.edu.co,1,committee_leader,pass
diego.leon@udi.edu.co,1,professor,pass
karla.cardenas@udi.edu.co,1,committee_leader,pass
jorge.nino@udi.edu.co,1,professor,pass
monica.perez@udi.edu.co,1,committee_leader,pass
ricardo.molina@udi.edu.co,1,committee_leader,pass
natalia.duarte@udi.edu.co,0,committee_leader,pass
wilson.ramirez@udi.edu.co,0,professor,pass
paola.fuentes@udi.edu.co,0,professor,pass
test@example.com,1,research_staff,pass
laura.romero@udi.edu.co,1,research_staff,pass
andres.gomez@udi.edu.co,1,research_staff,pass
julieta.rivera@udi.edu.co,1,research_staff,pass
diego.perez@udi.edu.co,0,research_staff,pass
